Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
30/04/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.13,
01/05/2025,NKE,BUY,2.00,57.13,0.13,1.33,86.16,
01/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
02/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
03/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
04/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
05/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
06/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
07/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
08/05/2025,BA,BUY,1.00,187.10,0.21,1.33,140.52,
08/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
10/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
13/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
14/05/2025,BA,BUY,0.65,204.50,0.15,1.33,100.00,
14/05/2025,CSPX.L,BUY,0.21,627.67,0.15,1.33,100.00,
14/05/2025,NASD.L,BUY,1.54,86.11,0.15,1.33,100.00,
14/05/2025,CASH,DEPOSIT,0.00,0.00,0.00,0.00,1000.00,
15/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
16/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
17/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
18/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
19/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
20/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
21/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
22/05/2025,SLB,BUY,1.00,33.44,0.04,1.34,24.96,
22/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
23/05/2025,CSPX.L,BUY,0.22,613.23,0.15,1.35,100.00,
23/05/2025,NASD.L,BUY,0.67,84.01,0.06,1.35,41.60,
23/05/2025,NASD.L,BUY,0.94,84.01,0.09,1.35,58.40,
23/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.09,
24/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
25/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
26/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
27/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
28/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
29/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
30/05/2025,CSPX.L,BUY,0.11,629.17,0.07,1.35,50.00,
30/05/2025,NASD.L,BUY,0.78,86.46,0.07,1.35,50.00,
30/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
31/05/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
01/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
02/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
03/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
04/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
05/06/2025,PYPL,BUY,1.00,72.82,0.08,1.36,53.57,
05/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
06/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
07/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
08/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
09/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
10/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
11/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
12/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
13/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
14/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
15/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
16/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
17/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
18/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
19/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
20/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
21/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
22/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
23/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
24/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
25/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
26/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
27/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
28/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
29/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
30/06/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
01/07/2025,NKE,DIVIDEND   ,2.00,0.34,0.12,0.72,0.49,
01/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
02/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
03/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
04/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
05/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
06/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
07/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
08/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
09/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
10/07/2025,BABA,DIVIDEND   ,8.25,1.05,0.00,0.73,6.36,
10/07/2025,BABA,DIVIDEND   ,8.25,0.95,0.00,0.73,5.75,
10/07/2025,SLB,DIVIDEND   ,1.00,0.29,0.00,0.74,0.21,
10/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
11/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
12/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
13/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
14/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
15/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
16/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
17/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
18/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
19/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
20/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
21/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
22/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
23/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
24/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
25/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
26/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
27/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
28/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
29/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
30/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
31/07/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.04,
01/08/2025,CSPX.L,BUY,0.20,673.88,0.15,1.32,100.00,
01/08/2025,NASD.L,BUY,1.41,93.71,0.15,1.32,100.00,
01/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
02/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
03/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
04/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
05/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
06/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
07/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
08/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
09/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
10/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
11/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
12/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
13/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
14/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
15/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
16/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
17/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
18/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
19/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
20/08/2025,ISPE.L,BUY,7.77,6.43,0.00,1.00,50.00,
20/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
21/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
22/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
23/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
24/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
25/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
26/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
27/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
28/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
29/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
30/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
31/08/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
01/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
02/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
03/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
04/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
05/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
06/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
07/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
08/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
09/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
10/09/2025,IGUS.L,BUY,0.33,14934.00,0.00,100.00,50.00,
10/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
12/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
13/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
15/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
16/09/2025,PYPL,BUY,1.00,66.94,0.07,1.37,49.10,
16/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
20/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
23/09/2025,BABA,SELL,1.18,164.68,0.22,1.35,144.00,
23/09/2025,CSPX.L,SELL,1.00,715.03,0.79,1.35,528.33,
23/09/2025,CSPX.L,SELL,1.00,715.02,0.79,1.35,528.32,
23/09/2025,CSPX.L,SELL,1.14,715.04,0.91,1.35,602.69,
23/09/2025,CSPX.L,SELL,8.00,715.04,6.35,1.35,4226.66,
23/09/2025,IGUS.L,BUY,19.33,15307.00,0.00,100.00,2959.00,
23/09/2025,ISPE.L,SELL,7.77,6.52,0.00,1.00,50.65,
23/09/2025,NASD.L,SELL,2.00,100.42,0.22,1.35,148.40,
23/09/2025,NASD.L,SELL,2.17,100.40,0.24,1.35,160.77,
23/09/2025,NASD.L,SELL,10.00,100.40,1.11,1.35,741.83,
23/09/2025,R2SC.L,BUY,15.03,52.93,0.00,1.00,795.40,
23/09/2025,R2SC.L,BUY,55.39,52.94,0.00,1.00,2932.60,
24/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
25/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
26/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
27/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
28/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
29/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
30/09/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
01/10/2025,NKE,DIVIDEND   ,2.00,0.34,0.12,0.74,0.50,
01/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.06,
02/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
03/10/2025,ETSY,BUY,4.00,75.40,0.34,1.35,224.20,
03/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.05,
04/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
05/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
06/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.02,
07/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
08/10/2025,KGS,BUY,7.00,35.03,0.27,1.34,182.80,
08/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.03,
09/10/2025,SLB,DIVIDEND   ,1.00,0.29,0.00,0.74,0.21,
10/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
12/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
13/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
15/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
16/10/2025,CSPX.L,SELL,1.49,716.30,1.19,1.34,791.27,
16/10/2025,CSPX.L,SELL,2.83,716.27,2.26,1.34,1505.84,
16/10/2025,EWSP.L,BUY,27.09,5.07,0.00,1.00,137.29,
16/10/2025,EWSP.L,BUY,115.96,5.07,0.00,1.00,587.71,
16/10/2025,IGUS.L,SELL,14.94,15317.00,0.00,100.00,2288.81,
16/10/2025,NASD.L,SELL,0.03,100.98,0.00,1.34,2.00,
16/10/2025,NASD.L,SELL,2.00,101.00,0.23,1.34,150.00,
16/10/2025,NASD.L,SELL,2.20,100.98,0.25,1.34,165.16,
16/10/2025,NASD.L,SELL,17.00,100.98,1.92,1.34,1274.76,
16/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.01,
17/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
18/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
19/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
20/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
21/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
22/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
23/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
24/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
25/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
26/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
27/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
28/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
29/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
30/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
31/10/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
01/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
02/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
03/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
04/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
05/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
06/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
07/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
08/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
09/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
10/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
11/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
12/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
13/11/2025,KGS,DIVIDEND   ,7.00,0.42,0.51,0.76,2.22,
13/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
14/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
15/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
16/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
17/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
18/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.61,
19/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
20/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
21/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
22/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
23/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
24/11/2025,PYPL,BUY,2.00,60.06,0.14,1.31,91.94,
24/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.61,
25/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
26/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
27/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
28/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
29/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
30/11/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
01/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
02/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
03/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
04/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.60,
05/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
06/12/2025,CASH,INTEREST   ,0.00,0.00,0.00,0.00,0.59,
